year,state,school,capacity_boarding,capacity_day,enrollment,attendance_boarding,attendance_day
1887,Alaska,Thlinkit Academy,75,0,25,25,0
1887,Alaska,Sitka,75,0,91,74,0
1887,Arizona,Colorado River Boarding,50,0,69,67,0
1887,Arizona,Fort Yuma: Boarding,200,0,122,70,0
1887,Arizona,Moqui Boarding ,50,0,NaN,NaN,0
1887,Arizona,Pima Boarding,130,0,164,118,0
1887,Arizona ,Papago Day ,0,30,50,0,25
1887,Arizona,San Carlos Boarding,50,0,50,46,0
1887,California,Hoopa Valley Day,0,45,53,0,28
1887,California,Middletown Training ,20,0,18,14,0
1887,California,Agua Caliente ,0,50,28,0,21
1887,California,Agua Caliente,0,20,14,0,7
1887,California,Coahuila Day ,0,40,33,0,22
1887,California,La Jolla Day ,0,50,55,0,34
1887,California,Mesa Grande Day ,0,20,21,0,13
1887,California,Pauma Day,0,30,23,0,11
1887,California,Protero Day,0,20,17,0,12
1887,California,Rincon Day,0,40,32,0,20
1887,California,San Bernardino Day,0,30,22,0,9
1887,California,San Jacinto Day,0,35,35,0,17
1887,California,Santa Yaabel Day,0,30,24,0,17
1887,California,Temecula Day,0,30,24,0,17
1887,California,Headquaters Day,0,40,44,0,31
1887,California,Lowerquaters Day,0,40,30,0,26
1887,California,San Diego Industrial Training,75,0,68,54,0
1887,Colorado,Agency Day School (Southern Ute),0,25,20,0,10
1887,Colorado,Good Shepard Boarding,50,0,50,48,0
1887,Colorado,Grand Junction Industrial School,75,0,33,21,0
1887,Dakota,Boy's Boarding,50,0,63,58,0
1887,Dakota,Oahe Industrial,50,0,42,35,0
1887,Dakota,St.John's Boarding,40,0,40,40,0
1887,Dakota,Cheyenne Rive Agency: 1,0,25,37,0,10
1887,Dakota,Cheyenne Rive Agency: 2,0,25,28,0,14
1887,Dakota,Cheyenne Rive Agency: 3,0,25,14,0,13
1887,Dakota,Cheyenne Rive Agency: 4,0,20,15,0,12
1887,Dakota,Cheyenne Rive Agency: 5,0,25,20,0,17
1887,Dakota,Cheyenne Rive Agency: 6,0,25,18,0,12
