year,state,school,capacity_boarding,capacity_day,enrollment,attendance_boarding,attendance_day
1887,AK,Fort Wrangel: Thlinkit Academy,75,,25,25,
1887,AK,Sitka: Industrial Training School,75,,91,74,
1887,AZ,Colorado River Boarding,50,,69,67,
1887,AZ,Fort Tuma: Boarding,200,,122,70,
1887,AZ,Keam's Cañon: Moqui Boarding,50,,,,
1887,AZ,Pima Boarding,120,,164,118,
1887,AZ,Papago Day,,30,50,,25
1887,AZ,San Carlos Boarding,50,,50,46,
1887,CA,Hoopa Valley Day,,45,53,,28
1887,CA,Middletown: Training School,20,,18,14,
1887,CA,"Agua Caliente, No 1 Day",,50,28,,21
1887,CA,"Agua Caliente, No 2 Day",,20,14,,7
1887,CA,Coahuila Day,,40,33,,22
1887,CA,La Jolla Day,,50,55,,34
1887,CA,Mesa Grande Day,,20,21,,13
1887,CA,Pauma Day,,30,23,,11
1887,CA,Potrero DAy,,20,17,,12
1887,CA,Ricon Day,,40,32,,20
1887,CA,San Bernardino Day,,30,22,,9
1887,CA,San Jacinto Day,,35,35,,17
1887,CA,Santa Ysabel Day,,30,24,,17
1887,CA,Temecula Day,,30,24,,17
1887,CA,Headquarters Day,,40,44,,
1887,CA,Lowerquartes Day,,40,30,,
1887,CA,San Diego: Industrial Training,75,,68,54,
1887,CO,Southern Ute Agency Day,,25,20,,10
1887,CO,Denver: Good Shepherd Boarding,50,,50,48,
1887,CO,Grand Junction: Industrial,75,,33,21,
1887,Dakota,Boys' Boarding,50,,63,,
1887,Dakota,Oabe Industrial,50,,42,,
1887,Dakota,St. John's Boarding,40,,40,,
1887,Dakota,No 1 Day,,25,37,,
1887,Dakota,No 2 Day,,25,28,,
1887,Dakota,No 3 Day,,25,14,,
1887,Dakota,No 4 Day,,20,15,,
1887,Dakota,No 5 Day,,25,20,,
1887,Dakota,No 6 Day,,25,18,,
1887,Dakota,No 8 Day,,25,27,,
1887,Dakota,Crow Creek Boarding,60,,71,34,
1887,Dakota,Lower Brulé Boarding,40,,35,28,
1887,Dakota,White River Day,,40,35,,19
1887,Dakota,Boys' Boarding,23,,33,28,
1887,Dakota,Industrial Boarding,70,,88,81,
1887,Dakota,St. Mary's Boarding (Turtle Mountain),125,,120,83,
1887,Dakota,Boys' turtle Mountain Day,,20,33,,19
1887,Dakota,St. John's Day (Turtle Mountain),,90,115,,67
1887,Dakota,Turtle Mountain Day,,20,19,,12
1887,Dakota,Fort Berthold Boarding,25,,27,23,
1887,Dakota,Fort Stevenson: Industrial,150,,86,67,
1887,Dakota,Pine Ridge Boarding,200,,170,142,
1887,Dakota,No 1 Day,,40,55,,31
1887,Dakota,No 2 Day,,40,65,,41
1887,Dakota,No 3 Day,,40,60,,36
1887,Dakota,No 4 Day,,40,58,,44
1887,Dakota,No 5 Day,,40,68,,37
1887,Dakota,No 6 Day,,40,64,,50
1887,Dakota,No 7 Day,,40,40,,34
1887,Dakota,No 8 Day,,40,67,,32
1887,Dakota,Rosebud Agency Day,,30,33,,21
1887,Dakota,Big Oak Creek Day,,30,23,,17
1887,Dakota,black Pipe Day,,30,40,,33
1887,Dakota,Corn Creek Day,,24,27,,20
1887,Dakota,Cut Meat Creek Day,,30,33,,27
1887,Dakota,Little White River Day,,30,34,,20
1887,Dakota,Little Oak Creek Day,,30,28,,24
1887,Dakota,Oak Creek Day,,30,11,,10
1887,Dakota,Pass Creek Day,,30,31,,24
1887,Dakota,Pine Creek Day,,30,25,,18
1887,Dakota,Red Leaf Camp Day,,30,34,,24
1887,Dakota,Ring Thunder Camp Day,,34,37,,28
1887,Dakota,Scabby Creek Day,,30,23,,15
1887,Dakota,White Thunder Creek Day,,30,36,,20
1887,Dakota,Sisseton Industrial,130,,129,91,
1887,Dakota,Goodwill Mission Boarding,63,,73,57,
1887,Dakota,Standing Rock Agency Boarding,100,,137,117,
1887,Dakota,Agricultural boarding,60,,83,66,
1887,Dakota,Cannon Bail Day,,60,80,,60
1887,Dakota,Grand River Day,,60,78,,60
1887,Dakota,No 1 Day,,30,36,,24
1887,Dakota,No 2 Day,,30,39,,32
1887,Dakota,No 3 Day,,30,36,,13
1887,Dakota,Yankton Boarding,75,,100,80,
1887,Dakota,St. Paul's Boarding,36,,37,24,
1887,Dakota,Yankton City: Dakota Industrial,75,,53,41,
1887,FL,Saint Angustine: Apache Day,,50,49,,34
1887,ID,Fort Hall Boarding,100,,69,53,
1887,ID,Lemhi boarding,25,,35,25,
1887,ID,Lapwai Boarding,100,,125,55,
1887,IN,Wabash: White's Manual Labor Institute,80,,71,63,
1887,Indian Territory,Arapaho boarding,100,,96,74,
1887,Indian Territory,Cheyenne Boarding,100,,118,97,
1887,Indian Territory,Mennonite Boarding (agency),50,,55,46,
1887,Indian Territory,Mennonite Boarding (Cantonment),100,,78,67,
1887,Indian Territory,Kiowa Boarding,100,,125,84,
1887,Indian Territory,Wichita Boarding,90,,111,81,
1887,Indian Territory,Kaw Boarding,70,,66,51,
1887,Indian Territory,Osage Boarding,150,,148,103,
1887,Indian Territory,Pawnee Boarding,70,,113,75,
1887,Indian Territory,Ponca Boarding,100,,95,78,
1887,Indian Territory,Otoe Boarding,50,,65,53,
1887,Indian Territory,Quapaw Boarding,30,,60,43,
1887,Indian Territory,"Seneca, Shawnee and Wyandotte Boarding",85,,100,87,
1887,Indian Territory,Miami Day,,30,18,,13
1887,Indian Territory,Modoc Day,,32,20,,15
1887,Indian Territory,Peoria Day,,56,12,,7
1887,Indian Territory,Absentee Shawnee Boarding,80,,94,68,
1887,Indian Territory,Sac and Fox Boarding,50,,57,34,
1887,Indian Territory,Chilocco: Chilocco Training,180,,197,166,
1887,IA,Houghton: White's Manual Labor Institute,60,,68,47,
1887,KS,Kickapoo Boarding,25,,42,25,
1887,KS,Pottawatomie Boarding,30,,47,30,
1887,KS,Sac and Fox and Iowa Boarding,50,,51,30,
1887,KS,Halstead: Mennonite Mission Boarding,25,,22,16,
1887,KS,Lawrence: Haskell Institute,350,,339,273,
1887,KS,Neosho County: St. Ann's Academy,25,,22,21,
1887,MI,Baraga Day,,50,47,,27
1887,MI,Iroquois Point Day,,50,27,,13
1887,MI,Hannahville Day,,18,19,,9
1887,MI,L'Anse Day,,40,45,,18
1887,MI,Longwood Day,,20,16,,9
1887,MI,Middle Village Day,,35,23,,15
1887,MI,Munissing Day,,40,22,,9
1887,MI,Sugar Island Day,,40,22,,8
1887,MN,White Earth Agency Boarding,110,,110,62,
1887,MN,Leech Lake Boarding,70,,55,39,
1887,MN,Red Lake Boarding,70,,95,49,
1887,MN,Rice River Day,,60,35,,10
1887,MN,St. Benedict's Orphan ,25,,27,25,
1887,MN,Avoca: St. Francis Xavier's Academy,50,,50,50,
1887,MN,Clontarf: St. Paul's Industrial,108,,108,100,
1887,MN,Collegeville: St. John's Industrial,100,,102,89,
1887,MN,Graceville: Convent of Our Lady,25,,16,13,
1887,MN,Saint Joseph: St. Benedict's Academy,125,,100,84,
1887,MT,Blackfeet Boarding,26,,35,24,
1887,MT,Crow boarding,50,,53,47,
1887,MT,Montana Industrial,50,,29,21,
1887,MT,St. Ignatius Boarding,200,,186,170,
1887,MT,Fort Belknap Day,,50,50,,32
1887,MT,Poplar Creek Boarding,100,,203,133,
1887,MT,St. Labre's Mission,50,,45,36,
1887,MT,St. Peter's Mission,75,,75,61,
1887,NE,Omaha Boarding,60,,98,62,
1887,NE,Omaha Mission,50,,51,41,
1887,NE,Winnebago Boarding,80,,65,30,
1887,NE,Santee Boarding,45,,90,78,
1887,NE,Hope Boarding,30,,34,30,
1887,NE,Santee Normal Training,150,,141,108,
1887,NE,Flandrean Day,,50,38,,23
1887,NE,ponca Day,,34,16,,7
1887,NE,Genoa: Genoa Training,175,,215,171,
1887,NV,Pyramid Lake Boarding,48,,84,57,
