index,year,statesuperintendency,agency,reservation,school,school_type,students_enrollment,avg_attendance,num_students,school_capacity
6166,1887,Alaska,,Fort Wrangel,Thlinkit Academy ,boarding,,25,25,75
6167,1887,Alaska,,Sitka,Industrial Training School ,boarding,,74,91,75
6168,1887,Arizona,Colorado River Agency ,,Colorado River Boarding ,boarding,,67,145,50
6171,1887,Arizona,Colorado River Agency ,,Fort Yuma Boarding,boarding,,70,200,200
6172,1887,Arizona,Colorado River Agency ,Keam's Canon,Moqui Boarding ,boarding,,,500,50
6174,1887,Arizona,Pima Agency ,,Pima Boarding,boarding,,118,950,120
6176,1887,Arizona,Pima Agency ,,Papago Day,day,,25,1423,30
6177,1887,Arizona,San Carlos Agency ,,San Carlos Boarding,boarding,,46,300,50
6188,1887,California,Hoopa Valley Agency ,,Hoopa Valley Day,day,,28,95,45
6198,1887,California,Hoopa Valley Agency ,Middletown,Training School,boarding,,14,18,20
6202,1887,California,Mission Agency,,Coahuila Day,day,,22,67,40
6204,1887,California,Mission Agency,,Agua Caliente No. 1 Day,day,,21,67,50
6205,1887,California,Mission Agency,,Agua Caliente No. 2 Day,day,,7,67,20
6206,1887,California,Mission Agency,,La Jolla Day,day,,34,67,50
6207,1887,California,Mission Agency,,Mesa Grande Day,day,,13,67,20
6208,1887,California,Mission Agency,,Pauma Day,day,,11,67,30
6209,1887,California,Mission Agency,,Protrero Day,day,,12,67,20
6210,1887,California,Mission Agency,,Rincon Day,day,,20,67,40
6211,1887,California,Mission Agency,,San Bernardino Day,day,,9,67,30
6212,1887,California,Mission Agency,,San Jacinto Day,day,,17,67,35
6213,1887,California,Mission Agency,,Santa Ysabel Day,day,,17,67,30
6214,1887,California,Mission Agency,,Temecula Day,day,,17,67,30
6220,1887,California,Round Valley Agency ,,Headquarters Day,day,,31,100,40
6221,1887,California,Round Valley Agency ,,Lowerquarters Day,day,,26,45,40
6222,1887,California,Round Valley Agency ,San Diego ,Industrial Training,boarding,,54,68,75
6246,1887,Colorado,Southern Ute Agency ,,Agency Day ,day,,10,316,25
6251,1887,Colorado,Southern Ute Agency ,Denver,Denver Good Shepherd Boarding,boarding,,48,20,50
6252,1887,Colorado,Southern Ute Agency ,Grand Junction,Grand Junction Industrial,boarding,,21,50,33
6259,1887,Dakota,Cheyenne River Agency,,Boy's Boarding,boarding,,58,77,50
6260,1887,Dakota,Cheyenne River Agency,,Oahe Industrial,boarding,,35,77,50
6261,1887,Dakota,Cheyenne River Agency,,St. John's Boarding,boarding,,40,77,40
6262,1887,Dakota,Cheyenne River Agency,,No. 1 Day,day,,10,77,25
6263,1887,Dakota,Cheyenne River Agency,,No. 2 Day,day,,14,77,25
6264,1887,Dakota,Cheyenne River Agency,,No. 3 Day,day,,13,77,25
6265,1887,Dakota,Cheyenne River Agency,,No. 4 Day,day,,12,77,20
6266,1887,Dakota,Cheyenne River Agency,,No. 5 Day,day,,17,77,25
6267,1887,Dakota,Cheyenne River Agency,,No. 6 Day,day,,12,77,25
6268,1887,Dakota,Cheyenne River Agency,,No. 8 DAy,day,,19,77,25
6271,1887,Dakota,Crow Creek and Lower Brule Agency ,,Crow Creek Boarding,boarding,,54,220,60
6272,1887,Dakota,Crow Creek and Lower Brule Agency ,,Lower Brule Boarding,boarding,,28,321,40
6273,1887,Dakota,Crow Creek and Lower Brule Agency ,,White River Day ,day,,19,35,40
6276,1887,Dakota,Devil's Lake Agency,,Boys Boarding,boarding,,28,210,25
6277,1887,Dakota,Devil's Lake Agency,,Industrial Boarding,boarding,,81,53,70
6278,1887,Dakota,Devil's Lake Agency,,St. Mary's Boarding (Turtle Mountaint),boarding,,83,263,125
6279,1887,Dakota,Devil's Lake Agency,,Boy's Turtle Mountain Day,day,,19,53,20
6280,1887,Dakota,Devil's Lake Agency,,St. Johns Day (Turtle Mountain),day,,67,53,90
6281,1887,Dakota,Devil's Lake Agency,,Turtle Mountain Day,day,,12,53,20
6282,1887,North Dakota,Fort Berthold Agency,,Fort Berthold Boarding,boarding,,23,220,25
